;Kode.Dagri;Kode.BPS;Urutan JSON;name;Kode.Geo;Nama.Provinsi;Nama.Kabupaten.Kota;IRBI.2017;IRBI.2018;IRBI.2019;IRBI.2020;IRBI.2021;IRBI.2022;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;korel
9;1109;1101;0;SIMEULUE;61100;Aceh;Simeulue;162;162;162;162;162;162;0;33,2;32,97;31,38;29,94;33,24;NA
1;1101;1103;1;ACEH SELATAN;60700;Aceh;Aceh Selatan;171,2;171,2;171,2;171,2;171,2;171,2;0;62,29;51,1;54;50,21;46,03;NA
2;1102;1104;2;ACEH TENGGARA;60800;Aceh;Aceh Tenggara;131,2;131,2;131,2;127,23;120,03;124,71;0;65,45;66,4;63,72;61,59;67,35;-0,342409617
3;1103;1105;3;ACEH TIMUR;60400;Aceh;Aceh Timur;188,8;188,8;188,8;176,05;166,74;145,88;0;56,4;44,85;49,19;50,45;54,52;-0,421338542
4;1104;1106;4;ACEH TENGAH;60500;Aceh;Aceh Tengah;124,8;124,8;124,8;124,8;124,8;113,67;0;60,38;51,25;47,53;47,16;50,21;-0,169967566
5;1105;1107;5;ACEH BARAT;60600;Aceh;Aceh Barat;203,2;203,2;203,2;189,04;179,15;0;0;45,17;42,83;45,54;51,39;43,92;-0,209928352
6;1106;1108;6;ACEH BESAR;60100;Aceh;Aceh Besar;211,2;211,2;211,2;211,2;209,78;201,23;0;59,29;57,05;54,8;57,35;56,6;-0,224417248
7;1107;1109;7;PIDIE;60200;Aceh;Pidie;163,2;163,2;163,2;163,2;163,2;163,06;0;63,52;61,93;63,4;56,57;60,72;-0,189065327
11;1111;1110;8;BIREUEN;61200;Aceh;Bireuen;168;168;168;168;168;160,77;0;61,44;63,7;66,01;61,32;60,9;-0,165561911
8;1108;1111;9;ACEH UTARA;60300;Aceh;Aceh Utara;175,2;175,2;175,2;175,2;175,2;159,41;0;52,25;54,89;53,67;57,7;58,19;-0,260464619
12;1112;1112;10;ACEH BARAT DAYA;61700;Aceh;Aceh Barat Daya;183,2;183,2;183,2;183,2;183,2;0;0;61,61;69,52;57,09;54,58;56,58;-0,130855147
13;1113;1113;11;GAYO LUES;61800;Aceh;Gayo Lues;107,2;107,2;107,2;101,41;97,59;0;0;46,34;49,47;55,32;60,35;54,74;-0,27940656
16;1116;1114;12;ACEH TAMIANG;61400;Aceh;Aceh Tamiang;155,2;155,2;155,2;146,52;139,2;120,74;0;48,16;48,11;46,75;48,75;42,47;-0,2584026
15;1115;1115;13;NAGAN RAYA;61500;Aceh;Nagan Raya;203,2;203,2;203,2;203,2;200,08;0;0;55,21;51,52;44,03;46,07;48,38;-0,182758865
14;1114;1116;14;ACEH JAYA;61600;Aceh;Aceh Jaya;197,6;197,6;197,6;178,8;165;169,78;0;53,26;51,46;58,41;49,6;46,79;-0,362205502
17;1117;1117;15;BENER MERIAH;61900;Aceh;Bener Meriah;123,2;123,2;123,2;123,2;119,36;108,1;0;50,43;55,44;54;46,57;51,47;-0,220436154
18;1118;1118;16;PIDIE JAYA;62000;Aceh;Pidie Jaya;137,6;137,6;137,6;137,6;137,6;137,6;0;61,42;59,04;62,58;60,35;67,8;NA
19;1171;1171;17;KOTA BANDA ACEH;66100;Aceh;Kota Banda Aceh;145,83;145,83;145,83;127,31;117,02;0;0;54,89;52,35;52,96;53,31;55,62;-0,31327498
20;1172;1172;18;KOTA SABANG;66000;Aceh;Kota Sabang;125,6;125,6;125,6;116,62;108,65;125,6;0;0;0;0;0;0;NA
22;1174;1173;19;KOTA LANGSA;66300;Aceh;Kota Langsa;143,2;143,2;143,2;143,2;138,73;111,1;0;44,39;41,2;40,38;40,77;42,76;-0,251656553
27;1204;1201;20;NIAS;71100;Sumatera Utara;Nias;214;214;214;214;210,71;214;48,06;35,47;32,27;37,2;40,62;41,38;-0,129473424
36;1213;1202;21;MANDAILING NATAL;71500;Sumatera Utara;Mandailing Natal;214,8;214,8;214,8;214,8;214,8;214,8;47,54;45,22;41,46;40,86;42,15;41,46;NA
26;1203;1203;22;TAPANULI SELATAN;71000;Sumatera Utara;Tapanuli Selatan;186;186;186;186;176,35;141,3;50,54;52,3;49,74;51,4;52,68;49,67;0,403180851
24;1201;1204;23;TAPANULI TENGAH;70900;Sumatera Utara;Tapanuli Tengah;191,2;191,2;191,2;191,2;191,2;191,2;44,09;38,85;39,14;35,23;42,83;38,91;NA
25;1202;1205;24;TAPANULI UTARA;70800;Sumatera Utara;Tapanuli Utara;118;118;118;118;118;118;47,38;44,69;46,31;51,26;56,68;46,06;NA
35;1212;1206;25;TOBA SAMOSIR;71600;Sumatera Utara;Toba Samosir;107,2;107,2;107,2;107,2;107,2;107,2;63,72;59,43;61,95;60,41;60,63;62,86;NA
33;1210;1207;26;LABUHAN BATU;70700;Sumatera Utara;Labuhanbatu;151,2;151,2;151,2;151,2;151,2;151,2;49,99;46,35;49,77;50,19;47,17;38,98;NA
32;1209;1208;27;ASAHAN;70600;Sumatera Utara;Asahan;167,2;167,2;167,2;167,2;167,2;99,35;59,9;57,38;61,54;57,14;56,18;61,64;-0,551572266
31;1208;1209;28;SIMALUNGUN;70400;Sumatera Utara;Simalungun;73,59;73,59;73,59;73,59;80,07;95,2;56,77;57,44;52,19;52,7;52,47;53,91;-0,18800705
34;1211;1210;29;DAIRI;70500;Sumatera Utara;Dairi;127,6;127,6;127,6;127,6;119,44;92,03;51,75;52,45;49,69;53,94;51,53;49,2;0,626260861
29;1206;1211;30;KARO;70300;Sumatera Utara;Karo;125,24;120,99;120,99;120,99;117,09;100,62;55,5;56,15;63,2;67,25;70,93;70,22;-0,647071012
30;1207;1212;31;DELI SERDANG;70100;Sumatera Utara;Deli Serdang;108,28;121,73;121,73;121,73;128,13;126,08;57,47;58,24;55,45;63,46;59,86;60,92;0,360402084
28;1205;1213;32;LANGKAT;70200;Sumatera Utara;Langkat;143,54;140,68;138,62;138,62;137,23;155,2;58,2;53,02;46,93;50,4;48,8;46,85;-0,134401661
37;1214;1214;33;NIAS SELATAN;71700;Sumatera Utara;Nias Selatan;202;202;202;202;187,94;200,89;44,22;43,76;43,77;42,77;42,61;36,94;0,02949338
39;1216;1215;34;HUMBANG HASUNDUTAN;71900;Sumatera Utara;Humbang Hasundutan;130;130;130;130;130;121,1;47,95;48,91;41,75;47,11;43,28;41,94;0,492546031
38;1215;1216;35;PAKPAK BHARAT;71800;Sumatera Utara;Pakpak Bharat;112;112;112;112;112;97,73;31,63;34,15;39,75;34,97;38,07;37,37;-0,228408796
40;1217;1217;36;SAMOSIR;72000;Sumatera Utara;Samosir;114;114;114;114;114;114;52,06;51,34;53,05;46,8;53,83;55,4;NA
41;1218;1218;37;SERDANG BEDAGAI;72100;Sumatera Utara;Serdang Bedagai;140;140;140;140;124,57;123,35;57,2;57,95;58,08;60,85;55,06;56,92;0,674269488
42;1219;1219;38;BATU BARA;72200;Sumatera Utara;Batu Bara;143,2;143,2;143,2;143,2;143,2;143,2;54,04;52,03;52,7;56,93;56,39;55,39;NA
43;1220;1220;39;PADANG LAWAS UTARA;72300;Sumatera Utara;Padang Lawas Utara;138;138;138;138;138;138;41,7;43,5;44,23;40,18;41,07;41,1;NA
44;1221;1221;40;PADANG LAWAS;72400;Sumatera Utara;Padang Lawas;154;154;154;154;154;149,84;39,26;38,72;33,01;34,89;37,82;37,21;-0,079732031
45;1222;1222;41;LABUHAN BATU SELATAN;72600;Sumatera Utara;Labuhanbatu Selatan;131,2;131,2;131,2;131,2;131,2;131,2;51,87;35,26;37,98;37,96;43,75;40,24;NA
46;1223;1223;42;LABUHAN BATU UTARA;72500;Sumatera Utara;Labuhanbatu Utara;155,2;155,2;155,2;155,2;155,2;155,2;52,51;47,42;45,61;45,75;42,41;40,37;NA
47;1224;1224;43;NIAS UTARA;72800;Sumatera Utara;Nias Utara;214;214;214;214;214;214;38,86;41,58;44,61;41,83;41,31;42,06;NA
48;1225;1225;44;NIAS BARAT;72700;Sumatera Utara;Nias Barat;210,8;210,8;210,8;210,8;210,8;210,8;42,4;40,5;37,63;39,2;44,81;41,71;NA
84;1409;1401;45;KUANTAN SINGINGI;91400;Riau;Kuantan Singingi;131,2;131,2;131,2;131,2;131,2;131,2;0;39,2;35,75;33,61;38,22;43,32;NA
77;1402;1402;46;INDRAGIRI HULU;90400;Riau;Indragiri Hulu;132,4;132,4;132,4;132,4;132,4;132,04;0;36,2;40,91;40,59;41,15;38,95;-0,180319985
79;1404;1403;47;INDRAGIRI HILIR;90500;Riau;Indragiri Hilir;168,4;168,4;168,4;168,4;168,4;168,4;0;46,9;36,61;40,2;42,37;40,62;NA
80;1405;1404;48;PELALAWAN;90800;Riau;Pelalawan;156,4;156,4;156,4;156,4;156,4;156,4;0;31,9;33,37;27,81;38,16;38,44;NA
83;1408;1405;49;SIAK;91100;Riau;Siak;156,4;156,4;156,4;156,4;143,11;104,35;0;44,5;36,55;42,32;43,27;46,16;-0,358194933
76;1401;1406;50;KAMPAR;90100;Riau;Kampar;155,2;155,2;155,2;155,2;139,93;111,28;0;35;29,42;38,08;33,61;39,58;-0,394819776
81;1406;1407;51;ROKAN HULU;90900;Riau;Rokan Hulu;155,2;155,2;155,2;155,2;155,2;155,2;0;34,6;35,76;37,55;33,3;39,66;NA
78;1403;1408;52;BENGKALIS;90200;Riau;Bengkalis;156,4;156,4;156,4;156,4;140,37;102;0;31;36,39;41,83;39,94;42,15;-0,389059154
82;1407;1409;53;ROKAN HILIR;91000;Riau;Rokan Hilir;167,2;167,2;167,2;167,2;155,57;137,85;0;36,1;41,98;39,07;51,4;49,83;-0,505134958
85;1410;1410;54;KEPULAUAN MERANTI;91500;Riau;Kepulauan Meranti;147,6;147,6;147,6;147,6;147,6;147,6;0;33,4;28,67;27,95;29,37;34,22;NA
86;1471;1471;55;KOTA PEKANBARU;96000;Riau;Kota Pekanbaru;132,4;132,4;132,4;132,4;130,37;132,4;0;0;0;0;0;0;NA
87;1472;1473;56;KOTA DUMAI;96200;Riau;Kota Dumai;108,4;108,4;108,4;108,4;108,4;108,4;0;30,3;39,06;29,65;24,22;32,8;NA
88;1501;1501;57;KERINCI;100300;Jambi;Kerinci;136,34;136,34;136,34;136,34;125,06;101,88;0;51,7;53,1;51,51;53,9;52,4;-0,27605435
89;1502;1502;58;MERANGIN;100900;Jambi;Merangin;166;166;166;166;166;166;0;40,7;40,6;43,9;38,8;40,4;NA
90;1503;1503;59;SAROLANGUN;100300;Jambi;Sarolangun;148,85;131,44;131,44;131,44;131,44;140,63;0;31,6;37,7;33,4;36,9;38,6;-0,801287832
91;1504;1504;60;BATANG HARI;100100;Jambi;Batanghari;120,4;120,4;120,4;120,4;120,4;120,4;0;40,2;33,5;43,6;41,4;39,9;NA
92;1505;1505;61;MUARO JAMBI;100700;Jambi;Muaro Jambi;132,4;132,4;132,4;132,4;127,31;116,25;0;36,1;29;41,3;38,4;39,1;-0,346742915
94;1507;1506;62;TANJUNG JABUNG TIMUR;100800;Jambi;Tanjung Jabung Timur;156,4;156,4;156,4;156,4;156,4;156,4;0;37,6;42,9;44,5;41,4;38,1;NA
93;1506;1507;63;TANJUNG JABUNG BARAT;100400;Jambi;Tanjung Jabung Barat;156,4;156,4;156,4;156,4;143,88;97,71;0;44,5;41,6;41,3;43,7;41;-0,213829231
96;1509;1508;64;TEBO;100600;Jambi;Tebo;131,2;131,2;131,2;131,2;131,2;131,2;0;46,7;38,3;45,5;50;48,1;NA
95;1508;1509;65;BUNGO;100200;Jambi;Bungo;143,2;143,2;143,2;143,2;143,2;131,47;0;43,7;39;37,3;36,5;41,5;-0,254129825
97;1571;1571;66;KOTA JAMBI;106000;Jambi;Kota Jambi;126,9;126,9;126,9;126,9;127,23;101,44;0;40,6;32,6;42,9;38,2;42,1;-0,275964163
227;3471;3471;67;KOTA YOGYAKARTA;46000;DI Yogyakarta;Kota Yogyakarta;78,46;73;72,86;72,86;72,57;62,18;0;54,23;51,82;52,71;52,88;55;-0,626697807
228;3501;3501;68;PACITAN;51200;Jawa Timur;Pacitan;192,03;126,21;124,13;124,78;131,88;105,52;51,64;46,92;44,84;43,51;46,64;50,56;0,471015399
229;3502;3502;69;PONOROGO;51100;Jawa Timur;Ponorogo;155,2;140,77;129,95;120,95;112,48;91,77;57,63;57,85;55,48;57,99;58,87;57,39;-0,128633471
230;3503;3503;70;TRENGGALEK;51700;Jawa Timur;Trenggalek;198;170,91;152,08;139,3;130,29;105,04;63,12;50,19;54,81;55,24;51,78;52,64;0,612839126
231;3504;3504;71;TULUNGAGUNG;51600;Jawa Timur;Tulungagung;201,2;169,75;152,94;140,39;128,23;100,11;55,4;62,23;56,8;58,44;59,7;54,58;0,151314622
232;3505;3505;72;BLITAR;51500;Jawa Timur;Blitar;210;198,06;185,57;169,22;154,75;110,61;56,73;58,95;61,9;56,57;64,02;63,51;-0,674322765
233;3506;3506;73;KEDIRI;51300;Jawa Timur;Kediri;178;163,09;146,58;136,75;127,63;97,31;53,35;58,6;56,49;59,38;56,45;57,78;-0,462973196
234;3507;3507;74;MALANG;51800;Jawa Timur;Malang;199,81;142,1;139,58;139,35;146,98;121,83;62,7;54,12;58,08;59,49;60,28;59,37;0,562647883
235;3508;3508;75;LUMAJANG;52100;Jawa Timur;Lumajang;200,76;129,74;122,33;115,06;134,73;99,49;57,74;55,85;53,1;54,05;52,07;54,13;0,692901327
236;3509;3509;76;JEMBER;52400;Jawa Timur;Jember;219,07;198,8;190,13;162,85;152,63;123,65;56,36;55,88;49,91;48,54;49,64;51,18;0,667303439
237;3510;3510;77;BANYUWANGI;52500;Jawa Timur;Banyuwangi;206,44;168,29;151,32;137,16;128,03;100,64;64,14;62,76;54,6;56,06;57,61;59,34;0,594073975
238;3511;3511;78;BONDOWOSO;52200;Jawa Timur;Bondowoso;166;166;162,97;136,38;116,61;93,92;50,55;50;47,02;48,15;50,16;50,02;-0,240031565
239;3512;3512;79;SITUBONDO;52300;Jawa Timur;Situbondo;168,4;168,4;152,8;130,27;114,15;84,43;55,91;55,98;55,47;52,39;49,74;52,23;0,809945886
240;3513;3513;80;PROBOLINGGO;52000;Jawa Timur;Probolinggo;194;162,29;171,8;154,13;139,18;106,22;45,43;45,78;49,1;52,16;51,34;54,71;-0,865991034
241;3514;3514;81;PASURUAN;51900;Jawa Timur;Pasuruan;214;214;179,24;154,64;137,01;95,82;62,28;58,02;50,1;51,37;52,67;53,04;0,63027365
242;3515;3515;82;SIDOARJO;50200;Jawa Timur;Sidoarjo;132,02;85,29;81,17;78,89;84,9;66,17;61,75;67,48;68,48;60,93;62,14;62,63;-0,206700559
21;1173;1174;83;KOTA LHOKSEUMAWE;66200;Aceh;Kota Lhokseumawe;136,92;130,11;130,11;130,11;130,11;138,77;0;46,05;49,34;55,31;57;52,96;-0,488362827
23;1175;1175;84;KOTA SUBULUSSALAM;66400;Aceh;Kota Subulussalam;95,2;95,2;95,2;95,2;95,2;95,2;0;55,41;50,48;51,69;53,37;54,56;NA
51;1273;1271;85;KOTA SIBOLGA;76500;Sumatera Utara;Kota Sibolga;167,2;167,2;167,2;167,2;167,2;167,2;0;0;0;0;0;0;NA
52;1274;1272;86;KOTA TANJUNG BALAI;76400;Sumatera Utara;Kota Tanjung Balai;114;114;114;114;114;114;50,02;50,95;53,29;56,58;51,9;50,22;NA
50;1272;1273;87;KOTA PEMATANG SIANTAR;76300;Sumatera Utara;Kota Pematangsiantar;91,2;91,2;91,2;91,2;91,2;91,2;61,18;60,55;62,43;61,57;61,83;63,32;NA
54;1276;1274;88;KOTA TEBING TINGGI;76200;Sumatera Utara;Kota Tebing Tinggi;101,6;101,6;101,6;101,6;100,04;82,48;54,32;52,38;62,24;55,17;52,73;49,95;0,548759375
49;1271;1275;89;KOTA MEDAN;76000;Sumatera Utara;Kota Medan;100,61;93,77;93,77;93,77;93,77;80,75;43,96;45,96;50,91;54,35;50,6;53,22;-0,637930507
53;1275;1276;90;KOTA BINJAI;76100;Sumatera Utara;Kota Binjai;103,2;103,2;103,2;103,2;103,2;103,2;41,76;41,81;40,15;54,05;51,86;50,34;NA
