"";"Kode.Dagri";"Kode.BPS";"Kode.Geo";"Nama.Provinsi";"Nama.Kabupaten.Kota";"IRBI.2017";"IRBI.2018";"IRBI.2019";"IRBI.2020";"IRBI.2021";"IRBI.2022";"Y_2017";"Y_2018";"Y_2019";"Y_2020";"Y_2021";"Y_2022";"korel"
"1";1101;1103;60700;"Aceh";"Aceh Selatan";171,2;171,2;171,2;171,2;171,2;171,2;0;62,29;51,1;54;50,21;46,03;NA
"2";1102;1104;60800;"Aceh";"Aceh Tenggara";131,2;131,2;131,2;127,23;120,03;124,71;0;65,45;66,4;63,72;61,59;67,35;-0,342409616565642
"3";1103;1105;60400;"Aceh";"Aceh Timur";188,8;188,8;188,8;176,05;166,74;145,88;0;56,4;44,85;49,19;50,45;54,52;-0,421338541959924
"4";1104;1106;60500;"Aceh";"Aceh Tengah";124,8;124,8;124,8;124,8;124,8;113,67;0;60,38;51,25;47,53;47,16;50,21;-0,169967566167821
"5";1105;1107;60600;"Aceh";"Aceh Barat";203,2;203,2;203,2;189,04;179,15;0;0;45,17;42,83;45,54;51,39;43,92;-0,209928351907744
"6";1106;1108;60100;"Aceh";"Aceh Besar";211,2;211,2;211,2;211,2;209,78;201,23;0;59,29;57,05;54,8;57,35;56,6;-0,224417247537812
"7";1107;1109;60200;"Aceh";"Pidie";163,2;163,2;163,2;163,2;163,2;163,06;0;63,52;61,93;63,4;56,57;60,72;-0,189065326767482
"8";1108;1111;60300;"Aceh";"Aceh Utara";175,2;175,2;175,2;175,2;175,2;159,41;0;52,25;54,89;53,67;57,7;58,19;-0,260464618686029
"9";1109;1101;61100;"Aceh";"Simeulue";162;162;162;162;162;162;0;33,2;32,97;31,38;29,94;33,24;NA
"10";1110;1102;61300;"Aceh";"Aceh Singkil";178;178;178;178;178;178;0;56,16;55,38;50,97;51,76;54,16;NA
"11";1111;1110;61200;"Aceh";"Bireuen";168;168;168;168;168;160,77;0;61,44;63,7;66,01;61,32;60,9;-0,165561910854822
"12";1112;1112;61700;"Aceh";"Aceh Barat Daya";183,2;183,2;183,2;183,2;183,2;0;0;61,61;69,52;57,09;54,58;56,58;-0,130855147371273
"13";1113;1113;61800;"Aceh";"Gayo Lues";107,2;107,2;107,2;101,41;97,59;0;0;46,34;49,47;55,32;60,35;54,74;-0,279406559883662
"14";1114;1116;61600;"Aceh";"Aceh Jaya";197,6;197,6;197,6;178,8;165;169,78;0;53,26;51,46;58,41;49,6;46,79;-0,362205501733792
"15";1115;1115;61500;"Aceh";"Nagan Raya";203,2;203,2;203,2;203,2;200,08;0;0;55,21;51,52;44,03;46,07;48,38;-0,1827588647038
"16";1116;1114;61400;"Aceh";"Aceh Tamiang";155,2;155,2;155,2;146,52;139,2;120,74;0;48,16;48,11;46,75;48,75;42,47;-0,258402600204126
"17";1117;1117;61900;"Aceh";"Bener Meriah";123,2;123,2;123,2;123,2;119,36;108,1;0;50,43;55,44;54;46,57;51,47;-0,220436153793836
"18";1118;1118;62000;"Aceh";"Pidie Jaya";137,6;137,6;137,6;137,6;137,6;137,6;0;61,42;59,04;62,58;60,35;67,8;NA
"19";1171;1171;66100;"Aceh";"Kota Banda Aceh";145,83;145,83;145,83;127,31;117,02;0;0;54,89;52,35;52,96;53,31;55,62;-0,313274979730534
"20";1172;1172;66000;"Aceh";"Kota Sabang";125,6;125,6;125,6;116,62;108,65;125,6;0;0;0;0;0;0;NA
"21";1173;1174;66200;"Aceh";"Kota Lhokseumawe";136,92;130,11;130,11;130,11;130,11;138,77;0;46,05;49,34;55,31;57;52,96;-0,488362826646207
"22";1174;1173;66300;"Aceh";"Kota Langsa";143,2;143,2;143,2;143,2;138,73;111,1;0;44,39;41,2;40,38;40,77;42,76;-0,251656552742705
"23";1175;1175;66400;"Aceh";"Kota Subulussalam";95,2;95,2;95,2;95,2;95,2;95,2;0;55,41;50,48;51,69;53,37;54,56;NA
"24";1201;1204;70900;"Sumatera Utara";"Tapanuli Tengah";191,2;191,2;191,2;191,2;191,2;191,2;44,09;38,85;39,14;35,23;42,83;38,91;NA
"25";1202;1205;70800;"Sumatera Utara";"Tapanuli Utara";118;118;118;118;118;118;47,38;44,69;46,31;51,26;56,68;46,06;NA
"26";1203;1203;71000;"Sumatera Utara";"Tapanuli Selatan";186;186;186;186;176,35;141,3;50,54;52,3;49,74;51,4;52,68;49,67;0,403180851248219
"27";1204;1201;71100;"Sumatera Utara";"Nias";214;214;214;214;210,71;214;48,06;35,47;32,27;37,2;40,62;41,38;-0,129473423664617
"28";1205;1213;70200;"Sumatera Utara";"Langkat";143,54;140,68;138,62;138,62;137,23;155,2;58,2;53,02;46,93;50,4;48,8;46,85;-0,134401661391464
"29";1206;1211;70300;"Sumatera Utara";"Karo";125,24;120,99;120,99;120,99;117,09;100,62;55,5;56,15;63,2;67,25;70,93;70,22;-0,647071011966371
"30";1207;1212;70100;"Sumatera Utara";"Deli Serdang";108,28;121,73;121,73;121,73;128,13;126,08;57,47;58,24;55,45;63,46;59,86;60,92;0,360402084216878
"31";1208;1209;70400;"Sumatera Utara";"Simalungun";73,59;73,59;73,59;73,59;80,07;95,2;56,77;57,44;52,19;52,7;52,47;53,91;-0,188007050419487
"32";1209;1208;70600;"Sumatera Utara";"Asahan";167,2;167,2;167,2;167,2;167,2;99,35;59,9;57,38;61,54;57,14;56,18;61,64;-0,551572265617582
"33";1210;1207;70700;"Sumatera Utara";"Labuhanbatu";151,2;151,2;151,2;151,2;151,2;151,2;49,99;46,35;49,77;50,19;47,17;38,98;NA
"34";1211;1210;70500;"Sumatera Utara";"Dairi";127,6;127,6;127,6;127,6;119,44;92,03;51,75;52,45;49,69;53,94;51,53;49,2;0,626260861479867
"35";1212;1206;71600;"Sumatera Utara";"Toba Samosir";107,2;107,2;107,2;107,2;107,2;107,2;63,72;59,43;61,95;60,41;60,63;62,86;NA
"36";1213;1202;71500;"Sumatera Utara";"Mandailing Natal";214,8;214,8;214,8;214,8;214,8;214,8;47,54;45,22;41,46;40,86;42,15;41,46;NA
"37";1214;1214;71700;"Sumatera Utara";"Nias Selatan";202;202;202;202;187,94;200,89;44,22;43,76;43,77;42,77;42,61;36,94;0,0294933795593261
"38";1215;1216;71800;"Sumatera Utara";"Pakpak Bharat";112;112;112;112;112;97,73;31,63;34,15;39,75;34,97;38,07;37,37;-0,22840879586698
"39";1216;1215;71900;"Sumatera Utara";"Humbang Hasundutan";130;130;130;130;130;121,1;47,95;48,91;41,75;47,11;43,28;41,94;0,492546030895842
"40";1217;1217;72000;"Sumatera Utara";"Samosir";114;114;114;114;114;114;52,06;51,34;53,05;46,8;53,83;55,4;NA
"41";1218;1218;72100;"Sumatera Utara";"Serdang Bedagai";140;140;140;140;124,57;123,35;57,2;57,95;58,08;60,85;55,06;56,92;0,67426948790423
"42";1219;1219;72200;"Sumatera Utara";"Batu Bara";143,2;143,2;143,2;143,2;143,2;143,2;54,04;52,03;52,7;56,93;56,39;55,39;NA
"43";1220;1220;72300;"Sumatera Utara";"Padang Lawas Utara";138;138;138;138;138;138;41,7;43,5;44,23;40,18;41,07;41,1;NA
"44";1221;1221;72400;"Sumatera Utara";"Padang Lawas";154;154;154;154;154;149,84;39,26;38,72;33,01;34,89;37,82;37,21;-0,0797320309247389
"45";1222;1222;72600;"Sumatera Utara";"Labuhanbatu Selatan";131,2;131,2;131,2;131,2;131,2;131,2;51,87;35,26;37,98;37,96;43,75;40,24;NA
"46";1223;1223;72500;"Sumatera Utara";"Labuhanbatu Utara";155,2;155,2;155,2;155,2;155,2;155,2;52,51;47,42;45,61;45,75;42,41;40,37;NA
"47";1224;1224;72800;"Sumatera Utara";"Nias Utara";214;214;214;214;214;214;38,86;41,58;44,61;41,83;41,31;42,06;NA
"48";1225;1225;72700;"Sumatera Utara";"Nias Barat";210,8;210,8;210,8;210,8;210,8;210,8;42,4;40,5;37,63;39,2;44,81;41,71;NA
"49";1271;1275;76000;"Sumatera Utara";"Kota Medan";100,61;93,77;93,77;93,77;93,77;80,75;43,96;45,96;50,91;54,35;50,6;53,22;-0,637930507230096
"50";1272;1273;76300;"Sumatera Utara";"Kota Pematangsiantar";91,2;91,2;91,2;91,2;91,2;91,2;61,18;60,55;62,43;61,57;61,83;63,32;NA
"51";1273;1271;76500;"Sumatera Utara";"Kota Sibolga";167,2;167,2;167,2;167,2;167,2;167,2;0;0;0;0;0;0;NA
"52";1274;1272;76400;"Sumatera Utara";"Kota Tanjung Balai";114;114;114;114;114;114;50,02;50,95;53,29;56,58;51,9;50,22;NA
"53";1275;1276;76100;"Sumatera Utara";"Kota Binjai";103,2;103,2;103,2;103,2;103,2;103,2;41,76;41,81;40,15;54,05;51,86;50,34;NA
"54";1276;1274;76200;"Sumatera Utara";"Kota Tebing Tinggi";101,6;101,6;101,6;101,6;100,04;82,48;54,32;52,38;62,24;55,17;52,73;49,95;0,548759375279852
"55";1277;1277;76600;"Sumatera Utara";"Kota Padang Sidempuan";128;128;128;128;128;128;53,49;51,57;50,29;55,51;52,33;55,1;NA
"56";1278;1278;76700;"Sumatera Utara";"Kota Gunungsitoli";215,6;215,6;215,6;215,6;215,6;215,6;52,32;52,26;51,7;56,84;49,06;51,59;NA
"57";1301;1302;80600;"Sumatera Barat";"Pesisir Selatan";189,6;189,6;189,6;189,6;169,42;114,55;55,79;50,27;51,06;48,05;48,01;56,17;-0,502185937666595
